Date,Nest,Latitude,Longitude,BaskLen,BaskWid,BaskHeight,GroundHeight,TangleHeight,Condition,Notes
15 June 2018,ChichiPatch.1,-0.20252,-78.48912,52,28,29,146,200,poor,
15 June 2018,ChichiPatch.2,-0.20252,-78.48912,31,24,8,124,112,fair,
15 June 2018,ChichiPatch.3,-0.20252,-78.48912,127,41,29,122,119,fair,
17 June 2018,Ahuano5.1,-1.09515,-77.59038,76,21,23,154,59,fair,
17 June 2018,Ahuano.5.2,-1.09515,-77.59038,315,154,49,134,400,good,
17 June 2018,Ahuano.5.3,-1.09515,-77.59038,89,34,37,72,400,NA,
18 June 2018,JardinBotanico,-1.06589,-77.6152,45,40,15,250,50,poor,
19 June 2018,Ahuano11.2.1,-1.09649,-77.54717,140,96,55,45,300,NA,
19 June 2018,Ahuano11.2.2,-1.09649,-77.54717,50,30,10,34,106,NA,
20 June 2018,ChichiPatch.4,-0.20252,-78.48912,84,69,51,243,300,NA,
20 June 2018,ChichiPatch.5,-0.20252,-78.48912,170,150,80,350,100,NA,
21 June 2018,JS-T11.6.1,-1.0965,-77.54715,77,142,18,10,146,poor,on ground from cutting
21 June 2018,JS-T11.6.2,-1.0965,-77.54715,190,65,60,150,50,good,
21 June 2018,JS-T11.6.3,-1.0965,-77.54715,120,45,43,160,50,good,
22 June 2018,Archidona.1,-0.81106,-77.78031,134,47,23,142,100,poor,
22 June 2018,Archidona.2,-0.81106,-77.78031,23,17,10,112,41,excellent,
22 June 2018,Archidona.3,-0.81106,-77.78031,202,80,33,0,250,good,
2 July 2018,Ex_01,-1.06703,-77.61845,61,44,17,135,200,good,
2 July 2018,Ex_03,-1.06906,-77.61882,16,12,11,30,35,good,
2 July 2018,Ex_02,-1.06906,-77.61882,20,16,12,149,84,good,
2 July 2018,Ex_04,-1.06624,-77.61553,41,29,9,31,110,fair,
24 July 2018,Ex_05,-1.04573,-77.71194,50,30,8,80,44,fair,
24 July 2018,Ex_06,-1.04573,-77.71194,40,30,8,60,100,fair,
24 July 2018,Ex_07,-1.04573,-77.71194,43,35,20,55,115,good,
5 July 2018,Ex_08,,,30,22,11,95,100,,didnt use this nest
5 July 2018,Ex_09,-1.07223,-77.61559,66,57,23,106,300,good,
5 July 2018,Ex_10,-1.06736,-77.61691,23,22,6,81,40,good,
5 July 2018,Ex_11,-1.06628,-77.61932,52,38,16,73,100,poor,
24 July 2018,Ex_11_End,-1.06628,-77.61932,22,17,9,77,43,poor,nest shrunk during rounds- these are measurements at end
24 July 2018,Ex_12,-1.04573,-77.71194,90,65,30,18,250,fair,
16 July 2018,Iyarina_01_OLD,,,119,50,30,25,300,,
16 July 2018,Iyarina__02_OLD,,,38,37,36,210,140,,
16 July 2018,Iyarina_03_OLD,,,138,74,50,265,400,,
16 July 2018,Iyarina_04_OLD,,,115,58,30,400,200,,
17 July 2018,Iy_05,-1.04573,-77.71199,33,32,47,140,200,poor,
17 July 2018,Iy_06,-1.04573,-77.71199,19,13,17,80,35,poor,
17 July 2018,Iy_07,-1.04577,-77.71193,52,23,12,70,100,good,
17 July 2018,Iy_08,-1.04579,-77.71176,30,23,13,150,50,poor,
17 July 2018,Iy_09,,,30,26,23,105,250,excellent,destroyed next day
17 July 2018,Iy_10,,,17,14,5,60,25,good,destroyed next day
17 July 2018,Iy_11,-1.04619,-77.71187,122,62,25,20,300,fair,
19 July 2018,Iy_01,-1.06617,-77.6166,35,32,25,87,155,good,
19 July 2018,Iy_02,-1.06617,-77.6166,22,15,8,55,80,good,
19 July 2018,Iy_03,-1.06617,-77.6166,50,30,25,110,150,good,
25-Jul-18,Ex_10,,,27,24,12,45,85,fair,