Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
4 July 2018,Col_20,12,NA,0.98,1.82,Sub 1,before,Control,
4 July 2018,Col_20,13,NA,1.01,2,Sub 1,before,Control,
4 July 2018,Col_20,14,NA,0.98,1.95,Sub 1,before,Control,
4 July 2018,Col_20,15,NA,0.92,1.72,Sub 1,before,Control,
4 July 2018,Col_21,1,0.00833,1.44,2.74,Adult,before,Control,
4 July 2018,Col_21,2,0.00896,1.4,3.28,Adult,before,Control,
4 July 2018,Col_21,3,0.01007,1.41,2.5,Adult,before,Control,
4 July 2018,Col_21,4,0.01124,1.54,3.38,Adult,before,Control,
4 July 2018,Col_21,5,0.00684,1.48,3.43,Adult,before,Control,
4 July 2018,Col_21,6,0.00427,1.07,1.92,Sub 2,before,Control,
4 July 2018,Col_21,7,0.00512,1.22,2.04,Sub 2,before,Control,
4 July 2018,Col_21,8,0.00326,1.03,1.86,Sub 2,before,Control,
4 July 2018,Col_21,9,0.00444,1.18,2.44,Sub 2,before,Control,
4 July 2018,Col_21,10,0.00417,1.1,1.89,Sub 2,before,Control,
4 July 2018,Col_21,11,NA,0.95,1.53,Sub 1,before,Control,
4 July 2018,Col_21,12,NA,0.99,1.91,Sub 1,before,Control,
4 July 2018,Col_21,13,NA,0.96,1.67,Sub 1,before,Control,
4 July 2018,Col_21,14,NA,1.11,2.07,Sub 1,before,Control,
4 July 2018,Col_21,15,NA,1.06,2.01,Sub 1,before,Control,
4 July 2018,Col_22,1,0.01066,1.37,3.09,Adult,before,Control,
4 July 2018,Col_22,2,0.00744,1.37,3.39,Adult,before,Control,
4 July 2018,Col_22,3,0.00639,1.43,3.21,Adult,before,Control,
4 July 2018,Col_22,4,0.00928,1.46,3.5,Adult,before,Control,
4 July 2018,Col_22,5,0.00811,1.51,3.15,Adult,before,Control,
4 July 2018,Col_22,6,0.00502,1.18,2.52,Sub 2,before,Control,
4 July 2018,Col_22,7,0.00315,1.04,1.8,Sub 2,before,Control,Sub 1?
4 July 2018,Col_22,8,0.00436,1.13,2.5,Sub 2,before,Control,
4 July 2018,Col_22,9,0.00438,1.1,2.28,Sub 2,before,Control,
4 July 2018,Col_22,10,0.00366,1.11,2.09,Sub 2,before,Control,
4 July 2018,Col_22,11,NA,0.96,1.53,Sub 1,before,Control,
4 July 2018,Col_22,12,NA,1.03,1.8,Sub 1,before,Control,
4 July 2018,Col_22,13,NA,0.94,1.63,Sub 1,before,Control,
4 July 2018,Col_22,14,NA,0.92,1.67,Sub 1,before,Control,
4 July 2018,Col_22,15,NA,0.94,1.9,Sub 1,before,Control,
4 July 2018,Col_23,1,0.00779,1.38,2.58,Adult,before,Control,
4 July 2018,Col_23,2,0.00708,1.31,2.7,Adult,before,Control,
4 July 2018,Col_23,3,0.00866,1.54,3.36,Adult,before,Control,
4 July 2018,Col_23,4,0.01257,1.45,3.01,Adult,before,Control,
4 July 2018,Col_23,5,0.00829,1.4,2.75,Adult,before,Control,
4 July 2018,Col_23,6,0.00452,1.05,1.91,Sub 2,before,Control,
4 July 2018,Col_23,7,0.00412,1.16,2.02,Sub 2,before,Control,
4 July 2018,Col_23,8,0.00591,1.29,2.55,Sub 2,before,Control,
4 July 2018,Col_23,9,0.00562,1.31,2.3,Sub 2,before,Control,
4 July 2018,Col_23,10,0.0043,1.11,2.04,Sub 2,before,Control,
4 July 2018,Col_23,11,NA,1.13,1.94,Sub 1,before,Control,
4 July 2018,Col_23,12,NA,1.08,2.11,Sub 1,before,Control,
4 July 2018,Col_23,13,NA,0.95,1.68,Sub 1,before,Control,
4 July 2018,Col_23,14,NA,1.06,2.02,Sub 1,before,Control,
4 July 2018,Col_23,15,NA,1.03,1.88,Sub 1,before,Control,
4 July 2018,Col_24,1,0.01195,1.46,3.22,Adult,before,Control,
4 July 2018,Col_24,2,0.00878,1.43,3.03,Adult,before,Control,
4 July 2018,Col_24,3,0.00891,1.47,3.05,Adult,before,Control,
4 July 2018,Col_24,4,0.01257,1.52,3.54,Adult,before,Control,
4 July 2018,Col_24,5,0.006,1.29,2.63,Adult,before,Control,
4 July 2018,Col_24,6,0.00544,1.23,2,Sub 2,before,Control,
4 July 2018,Col_24,7,0.00279,0.96,2.14,Sub 2,before,Control,
4 July 2018,Col_24,8,0.00396,1.17,2.34,Sub 2,before,Control,
4 July 2018,Col_24,9,0.00442,1.19,2.41,Sub 2,before,Control,
4 July 2018,Col_24,10,0.00403,1.1,2.32,Sub 2,before,Control,
4 July 2018,Col_24,11,NA,1.06,1.94,Sub 1,before,Control,
4 July 2018,Col_24,12,NA,0.95,1.59,Sub 1,before,Control,
4 July 2018,Col_24,13,NA,1.01,1.88,Sub 1,before,Control,
4 July 2018,Col_24,14,NA,0.97,1.74,Sub 1,before,Control,
4 July 2018,Col_24,15,NA,1.07,1.96,Sub 1,before,Control,
04-Aug-18,Col_01,1,0.00732,1.38,3.2,Adult,after,Parasite,
04-Aug-18,Col_01,2,0.00469,1.23,2.32,Sub 2,after,Parasite,
04-Aug-18,Col_01,3,0.00526,1.16,2.54,Sub 2,after,Parasite,
04-Aug-18,Col_01,4,0.00436,1.1,1.86,Sub 1,after,Parasite,
04-Aug-18,Col_01,5,NA,1.04,1.62,Sub 1,after,Parasite,
04-Aug-18,Col_01,6,NA,0.88,1.34,Sub 1,after,Parasite,
04-Aug-18,Col_01,7,NA,1.03,1.61,Sub 1,after,Parasite,
04-Aug-18,Col_01,8,NA,0.96,1.64,Sub 1,after,Parasite,
04-Aug-18,Col_02,1,0.00875,1.4,3.16,Adult,after,Parasite,
04-Aug-18,Col_02,2,0.00645,1.31,2.49,Sub 2,after,Parasite,
04-Aug-18,Col_02,3,0.0082,1.28,2.63,Sub 2,after,Parasite,
04-Aug-18,Col_02,4,0.0058,1.25,2.09,Sub 2,after,Parasite,
04-Aug-18,Col_02,5,0.00545,1.22,2.46,Sub 2,after,Parasite,
04-Aug-18,Col_02,6,0.00487,1.18,2.18,Sub 2,after,Parasite,
04-Aug-18,Col_02,7,NA,0.93,1.53,Sub 1,after,Parasite,
04-Aug-18,Col_02,8,NA,0.91,1.61,Sub 1,after,Parasite,
04-Aug-18,Col_02,9,NA,0.98,1.58,Sub 1,after,Parasite,
04-Aug-18,Col_02,10,NA,0.81,1.26,Sub 1,after,Parasite,
04-Aug-18,Col_02,11,NA,0.94,1.49,Sub 1,after,Parasite,
04-Aug-18,Col_03,1,0.00826,1.43,3.36,Adult,after,Parasite,
04-Aug-18,Col_03,2,0.00851,1.37,3.17,Adult,after,Parasite,
04-Aug-18,Col_03,3,0.01003,1.52,3.25,Adult,after,Parasite,
04-Aug-18,Col_03,4,0.00772,1.39,2.87,Adult,after,Parasite,
04-Aug-18,Col_03,5,0.00435,1.21,2.53,Sub 2,after,Parasite,
04-Aug-18,Col_03,6,0.0041,1.21,2.32,Sub 2,after,Parasite,
04-Aug-18,Col_03,7,0.00525,1.27,2.41,Sub 2,after,Parasite,
04-Aug-18,Col_03,8,0.00525,1.16,2.31,Sub 2,after,Parasite,
04-Aug-18,Col_03,9,0.00445,1.15,2.32,Sub 2,after,Parasite,
04-Aug-18,Col_03,10,NA,0.99,1.85,Sub 1,after,Parasite,
04-Aug-18,Col_03,11,NA,1.07,2.02,Sub 1,after,Parasite,
04-Aug-18,Col_03,12,NA,1.13,1.91,Sub 1,after,Parasite,
04-Aug-18,Col_03,13,NA,1.06,1.77,Sub 1,after,Parasite,
04-Aug-18,Col_03,14,NA,1.04,1.98,Sub 1,after,Parasite,
04-Aug-18,Col_04,1,0.0075,1.44,2.79,Adult,after,Parasite,
04-Aug-18,Col_04,2,0.01101,1.56,3.56,Adult,after,Parasite,
04-Aug-18,Col_04,3,0.00656,1.33,2.93,Adult,after,Parasite,
04-Aug-18,Col_04,4,0.00748,1.44,3.23,Adult,after,Parasite,
04-Aug-18,Col_04,5,0.00795,1.32,2.6,Adult,after,Parasite,
04-Aug-18,Col_04,6,0.00531,1.23,2.4,Sub 2,after,Parasite,
04-Aug-18,Col_04,7,0.00507,1.29,2.64,Sub 2,after,Parasite,
04-Aug-18,Col_04,8,0.00608,1.34,3.03,Sub 2,after,Parasite,
04-Aug-18,Col_04,9,NA,1,2.01,Sub 1,after,Parasite,
04-Aug-18,Col_04,10,NA,1.01,1.68,Sub 1,after,Parasite,
04-Aug-18,Col_04,11,NA,1.04,2.08,Sub 1,after,Parasite,
04-Aug-18,Col_05,1,0.00767,1.37,3.13,Adult,after,Parasite,
04-Aug-18,Col_05,2,0.01,1.53,3.45,Adult,after,Parasite,
04-Aug-18,Col_05,3,0.00905,1.37,2.87,Adult,after,Parasite,
04-Aug-18,Col_05,4,0.00672,1.28,2.92,Adult,after,Parasite,
04-Aug-18,Col_05,5,0.00666,1.38,2.93,Adult,after,Parasite,
04-Aug-18,Col_05,6,0.00426,1.16,2.2,Sub 2,after,Parasite,
04-Aug-18,Col_05,7,NA,1.05,1.92,Sub 1,after,Parasite,
04-Aug-18,Col_05,8,0.00494,1.15,2.11,Sub 2,after,Parasite,
04-Aug-18,Col_05,9,0.00606,1.38,2.64,Sub 2,after,Parasite,
04-Aug-18,Col_05,10,0.00469,1.2,2.02,Sub 2,after,Parasite,
04-Aug-18,Col_05,11,0.00559,1.19,2.36,Sub 2,after,Parasite,
04-Aug-18,Col_05,12,NA,1.08,2.06,Sub 1,after,Parasite,
04-Aug-18,Col_05,13,NA,1.02,1.75,Sub 1,after,Parasite,
04-Aug-18,Col_06,1,0.00701,1.43,3.19,Adult,after,Parasite,died
04-Aug-18,Col_06,2,0.00568,1.16,2.02,Sub 2,after,Parasite,
04-Aug-18,Col_06,3,0.00579,1.22,2.31,Sub 2,after,Parasite,
04-Aug-18,Col_06,4,0.00511,1.13,2.33,Sub 2,after,Parasite,
04-Aug-18,Col_06,5,0.00373,1.14,2.01,Sub 2,after,Parasite,
04-Aug-18,Col_06,6,0.00355,1.15,2.16,Sub 2,after,Parasite,
04-Aug-18,Col_06,7,0.00424,1.29,1.94,Sub 2,after,Parasite,
04-Aug-18,Col_06,8,NA,1.05,2.04,Sub 1,after,Parasite,
04-Aug-18,Col_06,9,NA,1.06,2.06,Sub 1,after,Parasite,
04-Aug-18,Col_06,10,NA,1.08,1.91,Sub 1,after,Parasite,
04-Aug-18,Col_07,1,0.00958,1.51,3.44,Adult,after,Parasite,
04-Aug-18,Col_07,2,0.00396,1.09,2.06,Sub 2,after,Parasite,
04-Aug-18,Col_07,3,0.00362,1.12,2.33,Sub 2,after,Parasite,
04-Aug-18,Col_07,4,NA,1.01,1.32,Sub 1,after,Parasite,
04-Aug-18,Col_07,5,NA,1.13,1.77,Sub 1,after,Parasite,
04-Aug-18,Col_07,6,NA,0.99,1.5,Sub 1,after,Parasite,
04-Aug-18,Col_08,1,0.00907,1.37,2.7,Adult,after,Parasite,
04-Aug-18,Col_08,2,0.00905,1.42,3.02,Adult,after,Parasite,
04-Aug-18,Col_08,3,0.00747,1.34,3.07,Adult,after,Parasite,
04-Aug-18,Col_08,4,0.00672,1.31,2.27,Sub 2,after,Parasite,
04-Aug-18,Col_08,5,0.00583,1.25,2.73,Sub 2,after,Parasite,
04-Aug-18,Col_08,6,NA,1.04,1.93,Sub 1,after,Parasite,
04-Aug-18,Col_08,7,NA,1.09,1.69,Sub 1,after,Parasite,
04-Aug-18,Col_08,8,NA,1.09,1.84,Sub 1,after,Parasite,
04-Aug-18,Col_08,9,NA,0.94,1.73,Sub 1,after,Parasite,
04-Aug-18,Col_08,10,NA,1.05,2.01,Sub 1,after,Parasite,
04-Aug-18,Col_09,1,0.00951,1.44,3.12,Adult,after,Parasite,
04-Aug-18,Col_09,2,0.01043,1.36,2.76,Adult,after,Parasite,
04-Aug-18,Col_09,3,0.00749,1.54,3.57,Adult,after,Parasite,
04-Aug-18,Col_09,4,0.00629,1.28,2.6,Sub 2,after,Parasite,
04-Aug-18,Col_09,5,0.00324,1.11,2.25,Sub 2,after,Parasite,
04-Aug-18,Col_09,6,0.00661,1.22,2.56,Sub 2,after,Parasite,
04-Aug-18,Col_09,7,0.00516,1.1,2.34,Sub 2,after,Parasite,
04-Aug-18,Col_09,8,0.00349,1.22,2.35,Sub 2,after,Parasite,died
04-Aug-18,Col_09,9,NA,1.08,1.97,Sub 1,after,Parasite,
04-Aug-18,Col_09,10,NA,1.03,1.9,Sub 1,after,Parasite,
04-Aug-18,Col_09,11,NA,0.95,1.65,Sub 1,after,Parasite,
04-Aug-18,Col_09,12,NA,1,1.72,Sub 1,after,Parasite,
04-Aug-18,Col_10,1,0.01351,1.7,3.61,Adult,after,Parasite,
04-Aug-18,Col_10,2,0.00838,1.49,3.37,Adult,after,Parasite,
04-Aug-18,Col_10,3,0.00754,1.48,3.14,Adult,after,Parasite,
04-Aug-18,Col_10,4,0.0111,1.41,3,Adult,after,Parasite,
04-Aug-18,Col_10,5,0.0083,1.41,2.86,Adult,after,Parasite,
04-Aug-18,Col_10,6,0.00648,1.27,2.22,Sub 2,after,Parasite,
04-Aug-18,Col_10,7,0.00416,1.18,2.25,Sub 2,after,Parasite,
04-Aug-18,Col_10,8,0.00543,1.23,2.1,Sub 2,after,Parasite,
04-Aug-18,Col_10,9,0.005,1.17,2.23,Sub 2,after,Parasite,
04-Aug-18,Col_10,10,0.00382,1.1,2.1,Sub 2,after,Parasite,
04-Aug-18,Col_10,11,NA,1.06,1.63,Sub 1,after,Parasite,
04-Aug-18,Col_10,12,NA,0.99,1.93,Sub 1,after,Parasite,
04-Aug-18,Col_10,13,NA,1.05,2.02,Sub 1,after,Parasite,died
04-Aug-18,Col_10,14,NA,0.97,1.64,Sub 1,after,Parasite,died
04-Aug-18,Col_11,1,0.01071,1.5,3.05,Adult,after,Parasite,
04-Aug-18,Col_11,2,0.01537,1.47,3.32,Adult,after,Parasite,
04-Aug-18,Col_11,3,0.01076,1.49,3.15,Adult,after,Parasite,
04-Aug-18,Col_11,4,0.00856,1.53,3.53,Adult,after,Parasite,
04-Aug-18,Col_11,5,0.01023,1.6,3.13,Adult,after,Parasite,died
04-Aug-18,Col_11,6,0.00643,1.34,2.97,Sub 2,after,Parasite,
04-Aug-18,Col_11,7,0.00563,1.19,2.09,Sub 2,after,Parasite,
04-Aug-18,Col_11,8,0.0068,1.27,2.43,Sub 2,after,Parasite,
04-Aug-18,Col_11,9,0.00596,1.29,2.77,Sub 2,after,Parasite,
04-Aug-18,Col_11,10,0.00412,1.15,2.39,Sub 2,after,Parasite,
04-Aug-18,Col_11,11,NA,1.07,2,Sub 1,after,Parasite,
04-Aug-18,Col_11,12,NA,0.98,1.7,Sub 1,after,Parasite,
04-Aug-18,Col_12,1,0.01023,1.48,3.56,Adult,after,Parasite,
04-Aug-18,Col_12,2,0.01113,1.51,3.39,Adult,after,Parasite,
04-Aug-18,Col_12,3,0.0085,1.31,2.73,Sub 2,after,Parasite,
04-Aug-18,Col_12,4,0.00574,1.24,2.47,Sub 2,after,Parasite,
04-Aug-18,Col_12,5,0.00384,1.1,2.21,Sub 2,after,Parasite,
04-Aug-18,Col_12,6,NA,0.98,2,Sub 1,after,Parasite,
04-Aug-18,Col_12,7,NA,1.06,2.07,Sub 1,after,Parasite,
04-Aug-18,Col_12,8,NA,1.12,2.01,Sub 1,after,Parasite,
04-Aug-18,Col_12,9,NA,0.93,1.55,Sub 1,after,Parasite,
04-Aug-18,Col_12,10,NA,0.99,1.57,Sub 1,after,Parasite,
04-Aug-18,Col_13,1,0.01117,1.42,3.03,Adult,after,Control,
04-Aug-18,Col_13,2,0.01059,1.48,3.55,Adult,after,Control,
04-Aug-18,Col_13,3,0.01326,1.67,3.9,Adult,after,Control,
04-Aug-18,Col_13,4,0.01436,1.62,3.3,Adult,after,Control,
04-Aug-18,Col_13,5,0.00697,1.23,2.3,Sub 2,after,Control,
04-Aug-18,Col_13,6,0.00453,1.17,2.34,Sub 2,after,Control,
04-Aug-18,Col_13,7,NA,1.11,1.91,Sub 1,after,Control,
04-Aug-18,Col_13,8,NA,0.96,1.64,Sub 1,after,Control,
04-Aug-18,Col_13,9,NA,0.82,1.65,Sub 1,after,Control,male
04-Aug-18,Col_13,10,NA,0.89,1.63,Sub 1,after,Control,
04-Aug-18,Col_13,11,NA,0.9,1.75,Sub 1,after,Control,
04-Aug-18,Col_14,1,0.01164,1.4,3.12,Adult,after,Control,
04-Aug-18,Col_14,2,0.00914,1.47,3.18,Adult,after,Control,
04-Aug-18,Col_14,3,0.00668,1.42,3.21,Adult,after,Control,
04-Aug-18,Col_14,4,NA,1.08,2.02,Sub 1,after,Control,
04-Aug-18,Col_14,5,NA,1.09,2.16,Sub 1,after,Control,
04-Aug-18,Col_14,6,NA,1.08,1.91,Sub 1,after,Control,
04-Aug-18,Col_14,7,NA,1.1,2.02,Sub 1,after,Control,
04-Aug-18,Col_14,8,NA,1.01,1.59,Sub 1,after,Control,
04-Aug-18,Col_15,1,0.00857,1.43,3.43,Adult,after,Control,
04-Aug-18,Col_15,2,0.00962,1.36,2.88,Adult,after,Control,
04-Aug-18,Col_15,3,0.00471,1.23,2.46,Sub 2,after,Control,
04-Aug-18,Col_15,4,0.00477,1.07,1.61,Sub 1,after,Control,
04-Aug-18,Col_15,5,NA,1.05,1.99,Sub 1,after,Control,
04-Aug-18,Col_15,6,NA,1.16,2.48,Sub 1,after,Control,
04-Aug-18,Col_15,7,NA,1.12,2.02,Sub 1,after,Control,
04-Aug-18,Col_15,8,NA,1.06,2,Sub 1,after,Control,
04-Aug-18,Col_16,1,0.00688,1.36,3.19,Adult,after,Control,
04-Aug-18,Col_16,2,0.00444,1.18,2.18,Sub 2,after,Control,
04-Aug-18,Col_16,3,NA,1,1.72,Sub 1,after,Control,
04-Aug-18,Col_16,4,NA,0.92,1.43,Sub 1,after,Control,
04-Aug-18,Col_17,1,0.00742,1.33,3.16,Adult,after,Control,
04-Aug-18,Col_17,2,0.01442,1.63,3.81,Adult,after,Control,
04-Aug-18,Col_17,3,0.00686,1.43,3.25,Adult,after,Control,
04-Aug-18,Col_17,4,0.00796,1.41,3.04,Adult,after,Control,
04-Aug-18,Col_17,5,0.00636,1.3,3.03,Adult,after,Control,
04-Aug-18,Col_17,6,0.00471,1.15,2.1,Sub 2,after,Control,
04-Aug-18,Col_17,7,0.00499,1.17,2.33,Sub 2,after,Control,
04-Aug-18,Col_17,8,0.00446,1.12,2.6,Sub 2,after,Control,
04-Aug-18,Col_17,9,0.00659,1.24,2.36,Sub 2,after,Control,
04-Aug-18,Col_17,10,0.0064,1.27,2.43,Sub 2,after,Control,
04-Aug-18,Col_17,11,NA,0.99,1.67,Sub 1,after,Control,
04-Aug-18,Col_17,12,NA,0.98,1.72,Sub 1,after,Control,
04-Aug-18,Col_17,13,NA,1.04,1.9,Sub 1,after,Control,
04-Aug-18,Col_18,1,0.00775,1.36,2.8,Adult,after,Control,
04-Aug-18,Col_18,2,0.00748,1.42,3.36,Adult,after,Control,
04-Aug-18,Col_18,3,0.00695,1.53,3.25,Adult,after,Control,
04-Aug-18,Col_18,4,0.0057,1.09,2.12,Sub 2,after,Control,
04-Aug-18,Col_18,5,0.00598,1.21,1.95,Sub 2,after,Control,
04-Aug-18,Col_18,6,0.00498,1.16,2.08,Sub 2,after,Control,died
04-Aug-18,Col_18,7,0.00542,1.17,2.68,Sub 2,after,Control,
04-Aug-18,Col_18,8,0.00381,1.21,2.37,Sub 2,after,Control,died
04-Aug-18,Col_18,9,NA,1.04,1.93,Sub 1,after,Control,
04-Aug-18,Col_18,10,NA,1.04,1.55,Sub 1,after,Control,
04-Aug-18,Col_18,11,NA,1.02,1.97,Sub 1,after,Control,
04-Aug-18,Col_18,12,NA,0.96,1.44,Sub 1,after,Control,
04-Aug-18,Col_18,13,NA,1.01,1.58,Sub 1,after,Control,
04-Aug-18,Col_19,1,0.01048,1.43,3.34,Adult,after,Control,died
04-Aug-18,Col_19,2,0.00826,1.4,2.99,Adult,after,Control,died
04-Aug-18,Col_19,3,0.01117,1.3,3.4,Adult,after,Control,
04-Aug-18,Col_19,4,0.00489,1.22,1.96,Sub 2,after,Control,
04-Aug-18,Col_19,5,0.00388,1.2,2.42,Sub 2,after,Control,
04-Aug-18,Col_19,6,NA,1.04,1.61,Sub 1,after,Control,
04-Aug-18,Col_19,7,NA,1.02,1.95,Sub 1,after,Control,
04-Aug-18,Col_20,1,0.00884,1.44,3.81,Adult,after,Control,died
04-Aug-18,Col_20,2,0.00631,1.31,3.04,Adult,after,Control,
04-Aug-18,Col_20,3,0.00503,1.15,2.18,Sub 2,after,Control,
04-Aug-18,Col_20,4,0.00397,1.09,2.27,Sub 2,after,Control,
04-Aug-18,Col_20,5,NA,1.02,1.85,Sub 1,after,Control,
04-Aug-18,Col_20,6,NA,1.09,1.97,Sub 1,after,Control,
04-Aug-18,Col_20,7,NA,0.97,1.68,Sub 1,after,Control,
04-Aug-18,Col_20,8,NA,1.05,2.02,Sub 1,after,Control,
04-Aug-18,Col_20,9,NA,0.96,1.86,Sub 1,after,Control,
04-Aug-18,Col_21,1,0.00799,1.23,2.65,Adult,after,Control,
04-Aug-18,Col_21,2,0.00868,1.52,3.3,Adult,after,Control,
04-Aug-18,Col_21,3,0.00466,1.07,2.26,Sub 2,after,Control,
04-Aug-18,Col_21,4,NA,1.06,1.75,Sub 1,after,Control,
04-Aug-18,Col_21,5,NA,1.08,1.98,Sub 1,after,Control,
04-Aug-18,Col_21,6,NA,0.99,1.71,Sub 1,after,Control,
04-Aug-18,Col_22,1,0.00882,1.43,3.73,Adult,after,Control,
04-Aug-18,Col_22,2,0.008,1.47,3.4,Adult,after,Control,
04-Aug-18,Col_22,3,0.00904,1.41,3.07,Adult,after,Control,
04-Aug-18,Col_22,4,0.00681,1.41,3.09,Adult,after,Control,
04-Aug-18,Col_22,5,0.00579,1.29,2.71,Sub 2,after,Control,
04-Aug-18,Col_22,6,0.00451,1.18,2.46,Sub 2,after,Control,
04-Aug-18,Col_22,7,0.00485,1.1,2.16,Sub 2,after,Control,
04-Aug-18,Col_22,8,NA,1.03,1.99,Sub 1,after,Control,
04-Aug-18,Col_22,9,NA,0.98,1.81,Sub 1,after,Control,
04-Aug-18,Col_22,10,NA,1,1.73,Sub 1,after,Control,
04-Aug-18,Col_22,11,NA,0.96,1.65,Sub 1,after,Control,
04-Aug-18,Col_22,12,NA,0.87,1.83,Sub 1,after,Control,
04-Aug-18,Col_23,1,0.01179,1.55,3.72,Adult,after,Control,
04-Aug-18,Col_23,2,0.00774,1.28,3.06,Adult,after,Control,
04-Aug-18,Col_23,3,0.00562,1.17,2.49,Sub 2,after,Control,
04-Aug-18,Col_23,4,0.0065,1.26,2.5,Sub 2,after,Control,
04-Aug-18,Col_23,5,0.00441,1.1,2.11,Sub 2,after,Control,
04-Aug-18,Col_23,6,0.00393,1.05,2.21,Sub 2,after,Control,
04-Aug-18,Col_23,7,0.00511,1.15,2.08,Sub 2,after,Control,
04-Aug-18,Col_23,8,NA,0.99,1.69,Sub 1,after,Control,
04-Aug-18,Col_23,9,NA,1.08,1.98,Sub 1,after,Control,
04-Aug-18,Col_23,10,NA,1.02,1.99,Sub 1,after,Control,
04-Aug-18,Col_23,11,NA,0.99,1.75,Sub 1,after,Control,
04-Aug-18,Col_23,12,NA,0.99,1.7,Sub 1,after,Control,
04-Aug-18,Col_24,1,0.0092,1.4,3.2,Adult,after,Control,
04-Aug-18,Col_24,2,0.00972,1.47,3.13,Adult,after,Control,died
04-Aug-18,Col_24,3,0.00883,1.38,2.99,Adult,after,Control,
04-Aug-18,Col_24,4,0.00846,1.48,3.11,Adult,after,Control,
04-Aug-18,Col_24,5,0.00628,1.28,3.16,Adult,after,Control,
04-Aug-18,Col_24,6,0.00691,1.14,2.21,Sub 2,after,Control,
04-Aug-18,Col_24,7,0.00458,1.07,2.06,Sub 2,after,Control,
04-Aug-18,Col_24,8,0.0058,1.31,2.41,Sub 2,after,Control,died
04-Aug-18,Col_24,9,0.0037,1.23,2.36,Sub 2,after,Control,
04-Aug-18,Col_24,10,NA,1.04,1.79,Sub 1,after,Control,
04-Aug-18,Col_24,11,NA,1.05,2.14,Sub 1,after,Control,
04-Aug-18,Col_24,12,NA,0.96,2.18,Sub 1,after,Control,male
04-Aug-18,Col_24,13,NA,0.74,0.96,Sub 1,after,Control,juv?
04-Aug-18,Col_24,14,NA,1.02,1.64,Sub 1,after,Control,