Nest,num.sub1,Weight,Measurement,Treatment
Col_01,5,0.01567,before,Parasite
Col_02,5,0.0142,before,Parasite
Col_03,5,0.01386,before,Parasite
Col_04,5,0.01101,before,Parasite
Col_05,5,0.01332,before,Parasite
Col_06,5,0.01028,before,Parasite
Col_07,5,0.01187,before,Parasite
Col_08,5,0.0114,before,Parasite
Col_09,5,0.01102,before,Parasite
Col_10,5,0.01379,before,Parasite
Col_11,5,0.01451,before,Parasite
Col_12,5,0.01187,before,Parasite
Col_13,5,0.0116,before,Control
Col_14,5,0.01146,before,Control
Col_15,5,0.01086,before,Control
Col_16,5,0.01164,before,Control
Col_17,5,0.01382,before,Control
Col_18,5,0.01238,before,Control
Col_19,5,0.01198,before,Control
Col_20,5,0.01416,before,Control
Col_21,5,0.01381,before,Control
Col_22,5,0.01154,before,Control
Col_23,5,0.01505,before,Control
Col_24,5,0.01268,before,Control
Col_01,4,0.01102,after,Parasite
Col_02,5,0.01123,after,Parasite
Col_03,5,0.01453,after,Parasite
Col_04,3,0.00923,after,Parasite
Col_05,3,0.0092,after,Parasite
Col_06,3,0.01194,after,Parasite
Col_07,3,0.00777,after,Parasite
Col_08,5,0.01704,after,Parasite
Col_09,4,0.01157,after,Parasite
Col_10,4,0.01068,after,Parasite
Col_11,2,0.0064,after,Parasite
Col_12,5,0.01528,after,Parasite
Col_13,5,0.01395,after,Control
Col_14,5,0.0166,after,Control
Col_15,4,0.01558,after,Control
Col_16,2,0.0047,after,Control
Col_17,3,0.00847,after,Control
Col_18,5,0.01627,after,Control
Col_19,2,0.00635,after,Control
Col_20,5,0.0198,after,Control
Col_21,3,0.00881,after,Control
Col_22,5,0.01381,after,Control
Col_23,5,0.01622,after,Control
Col_24,5,0.01286,after,Control